wbs_code;activity;optimistic_duration;likely_duration;pessimistic_duration;people_required;monetary_cost_per_day;level_of_revealingness;chance_of_delays;weight_of_delays;chance_of_losing_people;weight_of_losing_people;predecessor
ACT_1.1.1;Establish_art_dealer_front;1;2;3;2;180;1;1;2;5;2;/
ACT_1.1.2;Obtain_forged_export_permits;2;4;6;2;250;3;2;3;3;3;ACT_1.1.1
ACT_1.2.1;Scout_museum_or_private_collection;3;5;7;3;350;2;2;3;10;10;ACT_1.1.2
ACT_1.2.2;Hire_local_smugglers;1;3;4;4;300;3;2;4;15;20;ACT_1.1.2
ACT_1.2.3;Secure_storage_facility_for_artifacts;2;3;5;2;220;1;1;2;5;2;ACT_1.1.2
ACT_2.1.1;Research_black_market_buyers;2;3;5;2;200;3;1;2;5;2;/
ACT_2.1.2;Vet_and_confirm_buyer_legitimacy;2;3;4;1;180;3;2;3;5;3;ACT_2.1.1
ACT_2.1.3;Negotiate_sale_terms;1;2;3;1;160;2;1;2;3;2;ACT_2.1.2
ACT_2.2.1;Arrange_fake_shipping_labels;2;3;4;2;210;2;1;2;5;2;ACT_1.2.3,ACT_2.1.3
ACT_2.3.1;Pack_and_conceal_artifacts;2;4;6;3;240;2;2;3;10;15;ACT_1.2.2
ACT_2.3.2;Move_artifacts_to_safe_house;1;2;3;3;200;3;2;3;5;2;ACT_2.2.1,ACT_2.3.1
ACT_2.3.3;Arrange_overland_transport_to_border;2;3;5;2;220;4;2;3;5;3;ACT_2.3.2,ACT_3.1.1
ACT_3.1.1;Bribe_customs_agents;1;2;3;1;300;4;1;2;5;1;ACT_2.3.1
ACT_3.1.2;Coordinate_border_crossing;3;5;8;2;280;5;2;4;10;20;ACT_2.3.3,ACT_1.2.1
ACT_3.2.1;Confirm_delivery_at_new_location;1;2;3;2;250;3;1;2;3;2;ACT_3.1.2
ACT_4.1.1;Create_fake_provenance_documents;2;3;5;2;230;1;1;2;5;2;/
ACT_4.1.2;Arrange_secure_final_transfer;2;4;6;2;270;4;2;3;10;15;ACT_3.2.1,ACT_4.1.1
ACT_4.2.1;Dissolve_art_dealer_front;1;2;4;3;350;2;3;4;15;25;ACT_4.1.2
ACT_4.2.2;Launder_proceeds_through_galleries;2;3;5;2;300;3;2;3;5;2;ACT_4.1.2
